TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1611661315,Cleveland Rockers,32,22,10,0.688,1285.0,763,1770,0.431,106,335,0.316,371,503,0.738,297,662,959,503,444.0,267,83,127,532,1,2003,216.0,1,2,2,2,15,8,16,4,13,13,13,13,13,10,12,8,9,6,5,7,14,10,2,8,13,2,2001
1611661321,Detroit Shock,32,10,22,0.313,1310.0,774,1914,0.404,143,405,0.353,412,542,0.76,324,621,945,469,498.0,225,82,109,602,2,2103,-166.0,1,13,13,13,2,5,4,10,9,12,5,11,10,5,6,14,11,7,12,13,15,4,6,3,7,16,2001
1611661316,Houston Comets,32,19,13,0.594,1290.0,747,1908,0.392,138,435,0.317,415,539,0.77,349,708,1057,426,437.0,251,95,120,509,2,2047,53.0,1,6,6,6,12,11,6,12,10,6,12,9,11,3,5,4,4,14,3,10,13,7,1,3,12,6,2001
1611661325,Indiana Fever,32,10,22,0.313,1295.0,762,1822,0.418,157,446,0.352,470,589,0.798,287,649,936,458,491.0,242,118,140,600,0,2151,-96.0,1,13,13,13,8,9,12,7,7,4,6,3,7,1,15,10,14,10,8,12,10,13,5,13,5,11,2001
1611661320,Los Angeles Sparks,32,28,4,0.875,1295.0,916,2031,0.451,160,436,0.367,449,594,0.756,350,755,1105,596,438.0,281,138,114,616,6,2441,275.0,1,1,1,1,8,1,1,2,5,5,3,6,6,7,4,2,1,1,4,4,4,5,10,1,1,1,2001
1611661326,Miami Sol,32,20,12,0.625,1315.0,754,1826,0.413,93,295,0.315,356,469,0.759,294,649,943,467,449.0,300,153,87,602,0,1957,59.0,1,4,4,4,1,10,11,8,15,15,14,14,16,6,14,10,12,8,6,2,3,2,6,13,14,5,2001
1611661324,Minnesota Lynx,32,12,20,0.375,1295.0,671,1810,0.371,176,552,0.319,557,725,0.768,307,694,1001,437,507.0,210,127,126,696,4,2075,-79.0,1,11,11,11,8,16,14,16,1,1,11,1,1,4,8,7,6,13,14,15,6,9,16,2,9,10,2001
1611661313,New York Liberty,32,21,11,0.656,1280.0,833,1828,0.456,160,421,0.38,336,500,0.672,255,660,915,553,436.0,265,82,76,616,0,2162,80.0,1,3,3,3,16,3,10,1,5,9,2,15,15,15,16,9,15,3,2,8,15,1,10,13,4,4,2001
1611661323,Orlando Miracle,32,13,19,0.406,1290.0,768,1912,0.402,174,531,0.328,430,587,0.733,357,612,969,451,532.0,320,124,114,643,1,2140,-65.0,1,9,9,9,12,6,5,11,2,2,8,7,8,12,2,15,8,11,16,1,9,5,15,8,6,9,2001
1611661317,Phoenix Mercury,32,13,19,0.406,1290.0,767,1894,0.405,101,313,0.323,429,587,0.731,300,642,942,514,519.0,292,138,127,625,2,2064,-105.0,1,9,9,9,12,7,7,9,14,14,9,8,8,13,10,12,13,5,15,3,4,10,13,3,10,12,2001
